"Name","Version"
"Python 3.14.3 pip Bootstrap (64-bit)","3.14.3150.0"
"Python 3.14.3 Standard Library (64-bit)","3.14.3150.0"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.25.28902"
"PowerToys (Preview)","0.97.0"
"oneAPI Level Zero","1.24.0"
"Python 3.14.3 Development Libraries (64-bit)","3.14.3150.0"
"Python 3.14.3 Add to Path (64-bit)","3.14.3150.0"
"Python 3.14.3 Documentation (64-bit)","3.14.3150.0"
"Python 3.14.3 Test Suite (64-bit)","3.14.3150.0"
"Python 3.14.3 Executables (64-bit)","3.14.3150.0"
"Python 3.14.3 Core Interpreter (64-bit)","3.14.3150.0"
"Python 3.14.3 Tcl/Tk Support (64-bit)","3.14.3150.0"
"Office 16 Click-to-Run Extensibility Component","16.0.19426.20170"
"Office 16 Click-to-Run Licensing Component","16.0.19029.20208"
"Intel(R) Wireless Bluetooth(R)","24.10.0.4"
"Microsoft Visual Studio Setup WMI Provider","3.12.2140.44225"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719","14.50.35719"
"Microsoft .NET Host - 9.0.11 (x64)","72.44.42384"
"Microsoft .NET Runtime - 9.0.11 (x64)","72.44.42384"
"SportZone","1.5.1"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219"
"Microsoft Windows Desktop Runtime - 8.0.14 (x86)","64.56.29521"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219"
"Microsoft .NET Host FX Resolver - 8.0.17 (x64)","64.68.34370"
"PredatorSense Config","5.0.1463"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719","14.50.35719"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35211","14.44.35211"
"Surfshark","6.4.0999"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664"
"Microsoft .NET Host - 8.0.14 (x86)","64.56.29490"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.50.35719","14.50.35719"
"Microsoft ASP.NET Core 8.0.14 Shared Framework (x86)","8.0.14.25112"
"Oracle VirtualBox 7.2.4","7.2.4"
"PredatorSense Prerequisites","5.0.1463"
"Adobe Acrobat (64-bit)","25.001.21151"
"Adobe Refresh Manager","1.8.0"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60915"
"Intel(R) Computing Improvement Program","2.4.11145"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030"
"Logi RightSightForWebcams 1.1.207","1.1.207.0"
"Microsoft .NET Host FX Resolver - 8.0.22 (x64)","64.88.42551"
"Microsoft .NET Runtime - 8.0.17 (x64)","64.68.34370"
"vs_FileTracker_Singleton","17.14.36015"
"Microsoft .NET Runtime - 8.0.14 (x86)","64.56.29490"
"Care Center Service","4.00.3058"
"MobaXterm","25.3.0.5384"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35211","14.44.35211"
"Microsoft .NET Runtime - 8.0.22 (x64)","64.88.42551"
"Logi Plugin Service","6.2.6.1611"
,
"Node.js","24.13.0"
"Microsoft Visual Studio Setup Configuration","3.12.2140.44225"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664"
"Microsoft .NET Host - 8.0.22 (x64)","64.88.42551"
"Universal CRT Redistributable","10.0.26624"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030"
"Microsoft ASP.NET Core 8.0.22 Shared Framework (x64)","8.0.22.25528"
"Windows Subsystem for Linux","2.5.9.0"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030"
"Intel Driver && Support Assistant","25.4.36.6"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.50.35719","14.50.35719"
"Microsoft .NET Host FX Resolver - 9.0.11 (x64)","72.44.42384"
"Python Launcher","3.14.3150.0"
"Microsoft .NET Host FX Resolver - 8.0.14 (x86)","64.56.29490"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030"
"Microsoft Windows Desktop Runtime - 8.0.22 (x64)","64.88.42561"
"Intel® Graphics Software","25.40.1953.2"
"Microsoft Windows Desktop Runtime - 9.0.11 (x64)","72.44.42433"
"Adobe AIR","51.2.2.6"
"vcpp_crt.redist.clickonce","14.44.35211"
"Microsoft Windows Desktop Runtime - 8.0.17 (x64)","64.68.34385"
